UUID,No. of packing 5 colors
1ad01507-835f-4980-aa85-62bae7159345,96
ba6b0316-64b4-48e5-8c76-da26288b2fb5,472
b7084352-d4a8-46f2-9a7c-4c82e53ca3e7,0
8e634b00-cfbe-4a98-adbb-faf9453f1502,80
,3366
5be9daec-de25-4ed4-98dd-c6ca29c4318f,414
221fb7f1-e561-4481-8d60-f53831216169,134
27057f0d-2cfc-494f-b8b4-9255a606bc1b,834
2fe4057b-c383-4ea8-bbff-87fb1eb22a57,826
705fecea-898c-4af9-8bca-6855e3d73177,6
be2a7a15-f57a-495b-a2ed-33b6c0f90527,0
f2f50a92-c221-4b6c-ac82-189b087d6db6,100
cf8d8e05-22f8-43e4-9be5-5dc30cb833cd,0
5f57ab5e-754b-4f1e-a70a-81c26c67d251,0
cd32fee0-ca60-459d-9236-0099a30b39b3,124
705fecea-898c-4af9-8bca-6855e3d73177,6
cf8d8e05-22f8-43e4-9be5-5dc30cb833cd,0
