UUID, Number of colors, PIE Time,, Imember Time,, Elimination Time,, VCPackCol Time,, Maarouf Time,, Packing Colorable[Y/N]
98a7d55b-e55d-417a-84c5-13d14e68a934,2,62.5879533290863,,0.027622222900391,,0.048208236694336,,0.008877515792847,,0.005926847457886,,N
c773a309-5e85-4aa6-bc8b-8f8cd245dc22,2,70.6353566646576,,0.043952941894531,,0.054683208465576,,0.011145114898682,,0.00772762298584,,N
40486933-9554-4a49-8d48-3913452ce0df,2,70.0523517131805,,0.042829036712647,,0.054878950119019,,0.013621330261231,,0.008543014526367,,N
f145d8cc-e77f-45cd-9742-1cbb097ddee3,2,67.4208996295929,,0.043381690979004,,0.05543065071106,,0.010315895080566,,0.006687879562378,,N
a385797e-d938-4598-b7ec-70c2595f9153,2,63.519279718399,,0.026382207870483,,0.044922113418579,,0.009675979614258,,0.00644850730896,,N
4c984b4a-b6e2-4602-8991-5839366c6d62,2,66.5944204330444,,0.042409896850586,,0.055333137512207,,0.014923810958862,,0.007195234298706,,N
f56c6698-abcd-4fcf-96c7-5a0da6945ca6,2,70.604437828064,,0.033148288726807,,0.060069561004639,,0.009895086288452,,0.006585121154785,,N
f86ce03c-c0f0-41a2-8f61-7ea80545e5c9,2,64.0731782913208,,0.041234016418457,,0.058116674423218,,0.011913537979126,,0.006173133850098,,N
e157515b-4c71-4218-9e2d-b3dd470ce4a6,2,66.0890057086945,,0.036665916442871,,0.054351329803467,,0.009936094284058,,0.006654262542725,,N
49640d72-afa2-47ff-a99e-c23ba8834e67,2,70.1529047489166,67.1729788064957,0.045189619064331,0.038281583786011,0.057370185852051,0.054336404800415,0.011708498001099,0.011201286315918,0.007615327835083,0.006955695152283,N
7adf137f-f616-4288-9860-ffd8b9e1154c,2,150.626074790955,,0.054919719696045,,0.063980340957642,,0.018558502197266,,0.010751962661743,,N
e64cfb15-60cb-4edb-a8ae-54281c3116a1,2,155.197826147079,,0.054463386535645,,0.065428018569946,,0.013659477233887,,0.008923768997192,,N
14fd2ebc-ff7d-48fd-b90a-b90cb5157f49,2,147.870042324066,,0.029809474945068,,0.054420232772827,,0.012963056564331,,0.00826096534729,,N
06042f40-3420-485c-baf9-c9a4d8d34af9,2,171.942048072815,,0.057521104812622,,0.060066223144531,,0.015213489532471,,0.011011362075806,,N
2c565bbd-0a3e-4e06-b947-f2f415b0bdd9,2,149.381190061569,,0.05329442024231,,0.064818859100342,,0.014949321746826,,0.009293556213379,,N
266e894c-09ae-4f54-a9c4-de767bfae6cd,2,159.778110980988,,0.032418489456177,,0.052587270736694,,0.013277769088745,,0.008841037750244,,N
08f61aa7-909b-4433-93c8-443398c50c04,2,176.685260057449,,0.054213047027588,,0.059951782226563,,0.012939929962158,,0.008644819259644,,N
6e273374-a667-4a66-aa0e-f81a33223667,2,177.787294387817,,0.031110763549805,,0.048421382904053,,0.014262437820435,,0.010153532028198,,N
bd72d942-445f-483a-b07c-43ddc8564ee6,2,144.541979551315,,0.044348955154419,,0.067544937133789,,0.01244330406189,,0.007785558700562,,N
fec55b98-f734-4671-8a7a-6681cfa4c141,2,159.334850788116,159.314467716217,0.058216094970703,0.047031545639038,0.06217622756958,0.059939527511597,0.014251708984375,0.014251899719238,0.010050535202026,0.009371709823608,N
a631560c-ca96-41b3-9ff8-7ee73615b642,2,402.156359672546,,0.055430412292481,,0.078616619110108,,0.017902135848999,,0.01198673248291,,N
74b197b2-cdee-45d6-9fc3-f80e0dc4de79,2,405.99537062645,,0.070959091186524,,0.074774026870728,,0.020637035369873,,0.013158082962036,,N
086464a6-fda2-4035-a3fd-852b1b46afa8,2,347.028569459915,,0.040320634841919,,0.068868398666382,,0.019243478775025,,0.013171672821045,,N
9e1d7dff-8bd3-4e30-9797-321d4d32bfa9,2,431.669569253922,,0.068471908569336,,0.073150634765625,,0.017693519592285,,0.012198448181152,,N
846359f3-b4c6-4825-b3d8-3c4bd932b35b,2,380.94553732872,,0.055629968643189,,0.069581270217896,,0.019256830215454,,0.012574672698975,,N
e2209a61-de63-4cc0-924f-a86af3a2d93f,2,384.799690485001,,0.038023471832275,,0.063524961471558,,0.019596815109253,,0.012310028076172,,N
829642c1-fa83-415a-8c2c-3772ec0d7f2f,2,348.543999910355,,0.070456027984619,,0.077145576477051,,0.01798677444458,,0.011351346969605,,N
