UUID,No. of Colors,PIE Time,VCPackCol Time,Maarouf Time,Packing Colorable[Y/N]
4f5c781a-7603-4b0e-957f-a966d539afc7,2,1.09712409973145,0.028719425201416,0.015585899353027,N
662d86a8-bf50-4e2e-8c54-ee9f09129be5,2,1.22737050056458,0.018701314926148,0.015577793121338,N
9c13fa9f-9fa5-46a2-9c57-6736782f7fed,2,1.17059898376465,0.02003288269043,0.014883041381836,N
75a02fa3-6465-400c-a6d8-6f5d2181db54,2,1.10247659683228,0.029670715332031,0.016044855117798,N
2f3f12ca-4ecb-4cb3-be4c-1cc745482a3f,2,1.11126255989075,0.019102334976196,0.015647888183594,N
12a1823a-8445-4f36-817e-f50453f8bb8c,2,1.13547229766846,0.018429279327393,0.014712572097778,N
bc9a972f-4901-4708-80fd-0d614a794dce,2,1.10020637512207,0.018335580825806,0.016250133514404,N
c461dada-bee2-4fa8-881d-f6b8b3e7788a,2,1.1662905216217,0.019071817398071,0.015901565551758,N
2052dd63-c815-440a-81af-b18ab830e717,2,1.20276165008545,0.027751445770264,0.013808965682983,N
9e55ebbd-1d73-4c8a-a97b-808bbb3cd71e,2,1.1022834777832,0.019353628158569,0.026313304901123,N
e108b836-5d6d-41f4-93ae-1ade632d2ac4,2,3.45523810386658,0.026931524276733,0.038556814193726,N
29980f31-fee3-47c9-8304-b8a1386e95aa,2,3.69185256958008,0.025569677352905,0.034373283386231,N
72d95cb4-5a34-44cf-a0fc-ad23950bd53f,2,3.94085097312927,0.025423288345337,0.021261215209961,N
b4faea78-cee6-487d-867a-44a76a97049d,2,3.47900247573853,0.025160074234009,0.021344423294067,N
adb1db5f-10f0-4fce-992b-9b03674d1e4b,2,3.43887162208557,0.036484718322754,0.019984245300293,N
3a48db5c-6899-4758-a734-a96f724ffd16,2,3.56735873222351,0.027354955673218,0.023922920227051,N
3b0e357d-5e20-4fed-968b-454bec964627,2,3.39769291877747,0.02739143371582,0.037115812301636,N
79ad4c60-1b48-42a1-98b2-0b99ccd941ea,2,3.58670997619629,0.026749610900879,0.044919013977051,N
15ef8d32-9df3-426e-8ecb-a57f09802177,2,3.57249402999878,0.036562204360962,0.020615100860596,N
69091375-571b-4860-88f3-b9b44337b5d7,2,3.56347703933716,0.025352001190186,0.021215677261353,N
b5b65c3d-b84d-46f7-8eda-7d71e0a23b7d,2,11.6509642601013,0.034001588821411,0.039904594421387,N
5a7cbc4c-b11a-47a5-bf3c-5b15f5585f14,2,13.9081592559814,0.051155805587769,0.027182102203369,N
78a8e87f-4d12-4a74-b231-956f33d68dd4,2,11.6088581085205,0.034420490264893,0.040503263473511,N
f20cb51d-c49e-4120-9448-36f70cf955df,2,11.6440093517303,0.032482624053955,0.038212060928345,N
8a108419-11dd-4245-ae0c-a54bb99529ae,2,11.6344728469849,0.032989025115967,0.040084600448608,N
9f170450-2210-4586-aaf5-871ea1f110d6,2,12.7681798934937,0.031067371368408,0.023637533187866,N
0b9edb6f-643c-4484-85bc-8686ea3a833c,2,12.5625441074371,0.031381368637085,0.036852598190308,N
9fa8ce2e-64f2-4629-b661-afe79850a7b1,2,13.6939957141876,0.053218126296997,0.028372764587402,N
c3b328d3-5186-46e6-8457-73427ef30471,2,11.3399212360382,0.034651041030884,0.0416100025177,N
f5a90648-46f4-4cc1-8154-2e8b37bbd18f,2,11.442836523056,0.036037921905518,0.043472528457642,N
267ddd82-c501-4c5f-85f1-8d4791bda419,2,34.0951159000397,0.042362213134766,0.067776918411255,N
163d19f2-ba30-4a24-9988-e949ad6b36d8,2,35.4074950218201,0.04604959487915,0.049251794815064,N
d890a3be-de63-445a-bcc3-754dc1959fea,2,34.1055569648743,0.046042442321777,0.056159257888794,N
4e6b45a1-158a-4651-84d2-113ea81a3eab,2,36.7058038711548,0.056851387023926,0.03825855255127,N
ed8ffdbd-5e04-4f2b-a501-7edc475a4186,2,36.2419323921204,0.046477794647217,0.069337606430054,N
bf1a66a5-ad51-4d29-b762-e1e74738003f,2,37.7365825176239,0.05954384803772,0.038925170898438,N
216e75e3-2ff5-4824-8fcb-5423d37c73a5,2,36.9414322376251,0.065877437591553,0.03690505027771,N
6a43ea37-1834-4f8b-ab68-341fa2858617,2,37.249826669693,0.064971685409546,0.034786224365234,N
32b19341-4a2a-44f4-86ca-a094e48507c9,2,39.9841063022613,0.040935516357422,0.045640230178833,N
9bec606c-6906-4d2b-86af-9097cba0de65,2,38.1397438049316,0.039209127426148,0.043831586837769,N
