UUID,No. of colours,PIE Time,,IMember Time,,Elimination Time,,VCPackCol Time,,Maarouf Time,,Packing Colorable(Y/N)
4f5c781a-7603-4b0e-957f-a966d539afc7,2,1.09712409973145,,0.062917232513428,,0.06203818321228,,0.028719425201416,,0.015585899353027,,N
662d86a8-bf50-4e2e-8c54-ee9f09129be5,2,1.22737050056458,,0.041174173355103,,0.063163757324219,,0.018701314926148,,0.015577793121338,,N
9c13fa9f-9fa5-46a2-9c57-6736782f7fed,2,1.17059898376465,,0.064339637756348,,0.085515975952149,,0.02003288269043,,0.014883041381836,,N
75a02fa3-6465-400c-a6d8-6f5d2181db54,2,1.10247659683228,,0.084518671035767,,0.066418409347534,,0.029670715332031,,0.016044855117798,,N
2f3f12ca-4ecb-4cb3-be4c-1cc745482a3f,2,1.11126255989075,,0.03629207611084,,0.057995080947876,,0.019102334976196,,0.015647888183594,,N
12a1823a-8445-4f36-817e-f50453f8bb8c,2,1.13547229766846,,0.035905122756958,,0.062602519989014,,0.018429279327393,,0.014712572097778,,N
bc9a972f-4901-4708-80fd-0d614a794dce,2,1.10020637512207,,0.069234609603882,,0.071022987365723,,0.018335580825806,,0.016250133514404,,N
c461dada-bee2-4fa8-881d-f6b8b3e7788a,2,1.1662905216217,,0.04973578453064,,0.069612741470337,,0.019071817398071,,0.015901565551758,,N
2052dd63-c815-440a-81af-b18ab830e717,2,1.20276165008545,,0.044604539871216,,0.053344011306763,,0.027751445770264,,0.013808965682983,,N
9e55ebbd-1d73-4c8a-a97b-808bbb3cd71e,2,1.1022834777832,1.14158470630646,0.069046020507813,0.0557767868042,0.083562850952149,0.067527651786804,0.019353628158569,0.021916842460632,0.026313304901123,0.016472601890564,N
e108b836-5d6d-41f4-93ae-1ade632d2ac4,2,3.45523810386658,,0.098217964172363,,0.118441104888916,,0.026931524276733,,0.038556814193726,,N
29980f31-fee3-47c9-8304-b8a1386e95aa,2,3.69185256958008,,0.09723711013794,,0.109299182891846,,0.025569677352905,,0.034373283386231,,N
72d95cb4-5a34-44cf-a0fc-ad23950bd53f,2,3.94085097312927,,0.086285352706909,,0.07931661605835,,0.025423288345337,,0.021261215209961,,N
b4faea78-cee6-487d-867a-44a76a97049d,2,3.47900247573853,,0.086014747619629,,0.084205865859985,,0.025160074234009,,0.021344423294067,,N
adb1db5f-10f0-4fce-992b-9b03674d1e4b,2,3.43887162208557,,0.102155447006226,,0.082332849502564,,0.036484718322754,,0.019984245300293,,N
3a48db5c-6899-4758-a734-a96f724ffd16,2,3.56735873222351,,0.063497066497803,,0.081978559494019,,0.027354955673218,,0.023922920227051,,N
3b0e357d-5e20-4fed-968b-454bec964627,2,3.39769291877747,,0.105358600616455,,0.089585304260254,,0.02739143371582,,0.037115812301636,,N
79ad4c60-1b48-42a1-98b2-0b99ccd941ea,2,3.58670997619629,,0.085653066635132,,0.08502197265625,,0.026749610900879,,0.044919013977051,,N
15ef8d32-9df3-426e-8ecb-a57f09802177,2,3.57249402999878,,0.057507991790772,,0.072040557861328,,0.036562204360962,,0.020615100860596,,N
69091375-571b-4860-88f3-b9b44337b5d7,2,3.56347703933716,3.56935484409332,0.059841156005859,0.084176850318909,0.079205751419067,0.088142776489258,0.025352001190186,0.02829794883728,0.021215677261353,0.028330850601197,N
