UUID,No. of Colors,PIE Time,Average Time per n,Imember Time,,Elimination Time,,VCPackCol Time,,Maarouf Time,,Packing Colorable [Y/N]
92e68c93-a1fd-42a5-b5e9-61e57dfc0198,2,0.420197010040283,0.123408627510071,0.020939826965332,0.040383386611939,0.04183292388916,0.055085825920105,0.010084390640259,0.012397694587708,0.006740570068359,,N
f37fb367-e2e8-4e3f-b1b2-b46182f8cfe3,2,0.107661485671997,0.106885457038879,0.042845487594605,,0.060109853744507,,0.013229131698608,,0.008676052093506,,N
de307ae6-7bfb-41b7-8150-f0cdcf1e80b0,2,0.085803985595703,0.123376131057739,0.041734218597412,,0.057252407073975,,0.009721517562866,,0.006552934646606,,N
9b4f9455-ffde-4b6a-805b-983890fc30b2,2,0.087350606918335,0.14458327293396,0.038976669311524,,0.054769515991211,,0.009351968765259,,0.006422281265259,,N
83d57570-73cb-4720-8101-1e367169d902,2,0.085439682006836,0.16192090511322,0.042145967483521,,0.060822486877442,,0.009492874145508,,0.006425619125366,,N
a6c621f0-384b-4df0-a8d1-5203fe3878e4,2,0.087292194366455,0.176780033111572,0.041190147399902,,0.061518907546997,,0.012922286987305,,0.008246660232544,,N
147e22df-55f2-403e-9bb3-d5b20e384934,2,0.094480752944946,0.196888494491577,0.044300317764282,,0.052486896514893,,0.025869131088257,,0.009304523468018,,N
15a0324a-707f-4744-b408-da501a76ae68,2,0.085078001022339,0.213100337982178,0.042218923568726,,0.053497552871704,,0.009769678115845,,0.006434202194214,,N
9ef646eb-2ede-43c3-8b54-f521ef594e28,2,0.092621088027954,0.228120017051697,0.045912981033325,,0.048121452331543,,0.012852191925049,,0.008134841918945,,N
1bfaef7b-19a1-4c9f-bf9d-5dbb1dc09e22,2,0.088161468505859,0.24545693397522,0.043569326400757,,0.060446262359619,,0.01068377494812,,0.007034063339233,0.007397174835205,N
0b6ef619-0c87-4379-9618-6e996f6ec4d8,2,0.254965305328369,0.262992548942566,0.055415153503418,0.059070110321045,0.068463802337647,0.066275358200073,0.014461755752564,0.016307759284973,0.00885534286499,,N
99fdc4d6-974f-4c2a-bbd1-06cdc0fdb4dc,2,0.272568225860596,,0.072145223617554,0.058612322807312,0.063337326049805,,0.016952037811279,,0.013309240341187,,N
3f7c8075-6334-445e-aa1f-a29499d0d433,2,0.29787540435791,,0.063829898834229,0.05592155456543,0.056514501571655,,0.012849807739258,,0.017324924468994,,N
fa538d37-2f60-4625-8d39-497f1117a062,2,0.260726928710937,,0.055820941925049,0.056340479850769,0.061036586761475,,0.029239892959595,,0.012002944946289,,N
4d140c1f-24ba-460e-85d0-8b6dc4b2f678,2,0.234030961990356,,0.057508230209351,0.057593941688538,0.074044704437256,,0.016427278518677,,0.012134313583374,,N
1d550a92-cf72-44dc-bb58-0d3992eb9cf4,2,0.288376808166504,,0.056131601333618,0.057050561904907,0.072467565536499,,0.013910055160523,,0.010076522827149,,N
17bb4a04-e1a1-42d7-823a-83facec02414,2,0.256599187850952,,0.054604530334473,0.059568357467652,0.062952518463135,,0.013814210891724,,0.009131193161011,,N
0d652f02-0583-4e01-84f8-59a40c9c481f,2,0.235274791717529,,0.067798614501953,0.060874533653259,0.059574842453003,,0.014264345169067,,0.020149230957031,,N
